"ppvtr.36","first","b.marr","income","momage","momed","momrace","missing_ppvtr.36","missing_b.marr","missing_income","missing_momed","missing_momrace","_mi","_mj"
106,"1","1",37000,26,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,38,0
74,"0","1",17528,26,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,39,0
88,"1","0",4410,19,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,40,0
NA,"1","0",0,23,"1","1",TRUE,FALSE,FALSE,FALSE,FALSE,41,0
72,"1","1",94000.0000000001,28,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,42,0
74,"0","1",6696,21,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,43,0
50,"0","1",NA,24,"3","2",FALSE,FALSE,TRUE,FALSE,FALSE,44,0
99,"1","1",28350,24,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,45,0
107,"0","1",31000,26,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,46,0
90,"0","1",23000,21,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,47,0
NA,"1",NA,NA,23,"3","3",TRUE,TRUE,TRUE,FALSE,FALSE,48,0
132,"0","1",23490,24,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,49,0
87,"0","0",1343,19,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,50,0
NA,"1","1",NA,26,NA,"3",TRUE,FALSE,TRUE,TRUE,FALSE,51,0
NA,"0","1",57720,23,"3","3",TRUE,FALSE,FALSE,FALSE,FALSE,52,0
NA,"0","0",NA,23,"2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,53,0
NA,"0","1",12810,28,"3","3",TRUE,FALSE,FALSE,FALSE,FALSE,54,0
85,"1","0",15000,20,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,55,0
78,"0","1",13000,24,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,56,0
95,"0","1",99000,29,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,57,0
103,"0","1",15960,18,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,58,0
70,"1","0",4820,23,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,59,0
NA,"1","1",NA,26,"2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,60,0
54,"0","0",7164,21,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,61,0
NA,"0","0",NA,23,"1","1",TRUE,FALSE,TRUE,FALSE,FALSE,62,0
84,"0","1",19315,29,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,63,0
87,"0","1",65750,31,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,64,0
92,"0","1",11750,22,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,65,0
59,"1","0",NA,23,"1",NA,FALSE,FALSE,TRUE,FALSE,TRUE,66,0
79,"0","1",28500,25,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,67,0
53,"0",NA,NA,26,"1","3",FALSE,TRUE,TRUE,FALSE,FALSE,68,0
87,"1",NA,NA,26,"1","3",FALSE,TRUE,TRUE,FALSE,FALSE,69,0
93,"1","0",25000,21,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,70,0
NA,"0","1",27000,28,"3","2",TRUE,FALSE,FALSE,FALSE,FALSE,71,0
96,"1","1",NA,19,"2",NA,FALSE,FALSE,TRUE,FALSE,TRUE,72,0
124,"1","1",60500,31,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,73,0
58,"1","0",NA,19,"2","1",FALSE,FALSE,TRUE,FALSE,FALSE,74,0
116,"0","1",32050,26,NA,"3",FALSE,FALSE,FALSE,TRUE,FALSE,75,0
NA,"0","1",9000,21,"1","2",TRUE,FALSE,FALSE,FALSE,FALSE,76,0
NA,"0","1",72799.9999999999,24,"3","3",TRUE,FALSE,FALSE,FALSE,FALSE,77,0
106,"0","1",21300,23,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,78,0
NA,"0","1",34000,26,"2","3",TRUE,FALSE,FALSE,FALSE,FALSE,79,0
NA,"0","1",19000,24,"2","3",TRUE,FALSE,FALSE,FALSE,FALSE,80,0
NA,"0","1",13418,27,"2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,81,0
89,"1","1",14500,19,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,82,0
83,"0","1",NA,18,"1","3",FALSE,FALSE,TRUE,FALSE,FALSE,83,0
83,"1","1",38047,23,NA,"2",FALSE,FALSE,FALSE,TRUE,FALSE,84,0
78,"0","0",1000,21,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,85,0
106,"1","1",NA,22,"4",NA,FALSE,FALSE,TRUE,FALSE,TRUE,86,0
98,"1","1",29674,21,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,87,0
70,"0","1",NA,24,"1","2",FALSE,FALSE,TRUE,FALSE,FALSE,88,0
104,"0","1",47776,27,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,89,0
90,"0","1",NA,29,"3",NA,FALSE,FALSE,TRUE,FALSE,TRUE,90,0
NA,"0","1",NA,29,"2","3",TRUE,FALSE,TRUE,FALSE,FALSE,91,0
72,"1","0",NA,22,"2",NA,FALSE,FALSE,TRUE,FALSE,TRUE,92,0
81,"0","1",43020,26,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,93,0
80,"0","1",9400,24,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,94,0
88,"1","0",3420,21,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,95,0
86,"1","1",28506,23,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,96,0
79,"0","1",12056,18,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,97,0
NA,"0","1",24700,27,"2","3",TRUE,FALSE,FALSE,FALSE,FALSE,98,0
104,"0","1",12000,20,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,99,0
66,"1","1",NA,22,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,100,0
88,"1","1",40200,26,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,101,0
46,"0","1",13000,28,"3","2",FALSE,FALSE,FALSE,FALSE,FALSE,102,0
72,"0","0",2532,23,NA,"1",FALSE,FALSE,FALSE,TRUE,FALSE,103,0
86,"0","1",17501,23,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,104,0
72,"0","1",20180,21,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,105,0
87,"1","0",16000,21,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,106,0
82,"1","1",NA,22,"2","2",FALSE,FALSE,TRUE,FALSE,FALSE,107,0
92,"1","1",25000,25,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,108,0
122,"0","1",39350,27,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,109,0
122,"1","1",42043,22,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,110,0
91,"1","0",NA,25,"2",NA,FALSE,FALSE,TRUE,FALSE,TRUE,111,0
52,"1","0",410,19,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,112,0
99,"1","1",NA,17,"1",NA,FALSE,FALSE,TRUE,FALSE,TRUE,113,0
102,"1","1",32328,23,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,114,0
NA,"1","1",21600,22,"2","2",TRUE,FALSE,FALSE,FALSE,FALSE,115,0
91,"0","0",26464,19,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,116,0
86,"0","0",4716,28,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,117,0
75,"0","1",10400,23,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,118,0
99,"0","1",33054,26,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,119,0
105,"0","1",NA,20,"1",NA,FALSE,FALSE,TRUE,FALSE,TRUE,120,0
NA,"1","0",74000.0000000001,28,"3",NA,TRUE,FALSE,FALSE,FALSE,TRUE,121,0
70,"0","0",NA,23,"3",NA,FALSE,FALSE,TRUE,FALSE,TRUE,122,0
84,"0","1",14588,23,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,123,0
83,"0","1",17000,26,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,124,0
108,"1","0",7800,26,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,125,0
87,"1","1",49000,32,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,126,0
NA,"1","1",26800,30,NA,"1",TRUE,FALSE,FALSE,TRUE,FALSE,127,0
91,"1","1",15418,21,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,128,0
104,"0","1",3634,19,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,129,0
94,"0","0",7022,23,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,130,0
NA,"1",NA,NA,25,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,131,0
NA,"0","0",5952,23,"1","3",TRUE,FALSE,FALSE,FALSE,FALSE,132,0
89,"0","1",40568,25,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,133,0
NA,"0","1",NA,26,"2","1",TRUE,FALSE,TRUE,FALSE,FALSE,134,0
73,"0","0",5172,21,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,135,0
95,"0","0",16000,25,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,136,0
NA,"1","0",12000,22,"2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,137,0
NA,"1","0",15000,20,"2","1",TRUE,FALSE,FALSE,FALSE,FALSE,138,0
90,"1","0",4024,22,NA,"1",FALSE,FALSE,FALSE,TRUE,FALSE,139,0
62,"0","1",5625,24,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,140,0
63,"0","1",53000,28,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,141,0
131,"1","0",12000,24,"4",NA,FALSE,FALSE,FALSE,FALSE,TRUE,142,0
NA,"0","1",7879,24,"1","2",TRUE,FALSE,FALSE,FALSE,FALSE,143,0
106,"1","1",20480,23,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,144,0
114,"0","1",1057448,29,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,145,0
62,"0","1",12000,25,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,146,0
91,"0","0",27000,25,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,147,0
100,"1","1",24000,18,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,148,0
82,"0","0",5768,20,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,149,0
79,"0","1",14709,23,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,150,0
88,"1","1",9556.00000000001,18,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,151,0
NA,"1","1",23353,19,"2","3",TRUE,FALSE,FALSE,FALSE,FALSE,152,0
72,"0","0",6786,20,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,153,0
91,"1","1",34020,25,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,154,0
76,"0","1",23700,20,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,155,0
87,"1","0",NA,25,"3",NA,FALSE,FALSE,TRUE,FALSE,TRUE,156,0
82,"0","0",5205,24,NA,"1",FALSE,FALSE,FALSE,TRUE,FALSE,157,0
65,"0","1",23000,26,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,158,0
NA,"0","0",11000,24,NA,"2",TRUE,FALSE,FALSE,TRUE,FALSE,159,0
NA,"1","1",8000,29,"2","2",TRUE,FALSE,FALSE,FALSE,FALSE,160,0
102,"0","1",20100,27,NA,"3",FALSE,FALSE,FALSE,TRUE,FALSE,161,0
57,"0","1",6000,22,NA,"2",FALSE,FALSE,FALSE,TRUE,FALSE,162,0
105,"0","1",47000,31,NA,"3",FALSE,FALSE,FALSE,TRUE,FALSE,163,0
67,"0","0",4440,23,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,164,0
90,"1","1",23000,22,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,165,0
NA,"0","0",3542,27,"1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,166,0
97,"0","1",19000,26,NA,"3",FALSE,FALSE,FALSE,TRUE,FALSE,167,0
69,"1","1",12766,20,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,168,0
83,"0","0",4728,27,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,169,0
58,"1","1",NA,27,"1","2",FALSE,FALSE,TRUE,FALSE,FALSE,170,0
110,"1","1",37150,26,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,171,0
109,"1","1",30000,22,"3","2",FALSE,FALSE,FALSE,FALSE,FALSE,172,0
88,"0","1",16100,26,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,173,0
94,"0","1",100001,28,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,174,0
70,"1","1",7500,23,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,175,0
98,"1","1",11005,24,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,176,0
113,"1","1",34100,30,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,177,0
106,"1","1",31540,23,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,178,0
117,"1","1",37386,27,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,179,0
80,"1","0",35000,20,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,180,0
78,"0","1",25102,21,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,181,0
77,"0","1",9000,24,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,182,0
NA,"0","1",38050,28,"2","2",TRUE,FALSE,FALSE,FALSE,FALSE,183,0
127,"0","1",15532,21,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,184,0
96,"1","1",5000,17,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,185,0
NA,"0","0",15000,25,"1","3",TRUE,FALSE,FALSE,FALSE,FALSE,186,0
41,"1","0",25000,16,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,187,0
88,"0","0",NA,24,"2","1",FALSE,FALSE,TRUE,FALSE,FALSE,188,0
88,"0","1",31304,29,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,189,0
NA,"0","0",17500,22,"2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,190,0
84,"0",NA,NA,21,"2","1",FALSE,TRUE,TRUE,FALSE,FALSE,191,0
97,"0","0",11400,24,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,192,0
102,"0","1",27500,24,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,193,0
NA,"0","1",11220,21,"1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,194,0
59,"1","0",NA,18,"2","1",FALSE,FALSE,TRUE,FALSE,FALSE,195,0
77,"1","0",NA,20,"2","1",FALSE,FALSE,TRUE,FALSE,FALSE,196,0
89,"1",NA,NA,27,"4",NA,FALSE,TRUE,TRUE,FALSE,TRUE,197,0
55,"0","0",4692,25,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,198,0
NA,"0","0",6816,27,"1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,199,0
59,"0","0",6000,22,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,200,0
72,"0","0",12000,28,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,201,0
108,"0","1",46020,28,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,202,0
74,"0","1",16800,28,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,203,0
95,"0","0",5220,24,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,204,0
112,"1","1",100001,26,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,205,0
90,"1","0",NA,20,"1","2",FALSE,FALSE,TRUE,FALSE,FALSE,206,0
92,"0","1",NA,26,"2","2",FALSE,FALSE,TRUE,FALSE,FALSE,207,0
98,"1","1",18585,23,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,208,0
78,"0","1",NA,26,"2","3",FALSE,FALSE,TRUE,FALSE,FALSE,209,0
104,"0","1",8262,22,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,210,0
70,"0","1",15796,20,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,211,0
101,"1","1",18000,27,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,212,0
100,"0","1",10832,23,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,213,0
NA,"1","1",100001,23,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,214,0
110,"1","1",44600,24,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,215,0
58,"1","1",13000,23,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,216,0
52,"1","1",1446,18,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,217,0
54,"1","0",6970,21,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,218,0
88,"0","1",14072,24,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,219,0
84,"0","0",NA,26,"4",NA,FALSE,FALSE,TRUE,FALSE,TRUE,220,0
101,"0","0",5040,28,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,221,0
122,"1","1",18352,18,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,222,0
90,"1","1",NA,20,"2","1",FALSE,FALSE,TRUE,FALSE,FALSE,223,0
64,"1","1",35000,23,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,224,0
NA,"1","1",29550,27,"3","3",TRUE,FALSE,FALSE,FALSE,FALSE,225,0
58,"0","1",21865,26,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,226,0
69,"1","1",NA,19,"2","3",FALSE,FALSE,TRUE,FALSE,FALSE,227,0
63,"0","1",NA,25,NA,"2",FALSE,FALSE,TRUE,TRUE,FALSE,228,0
63,"0","1",27081,25,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,229,0
108,"1","1",34150,25,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,230,0
102,"1","1",26800,22,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,231,0
NA,"1",NA,NA,24,"2","3",TRUE,TRUE,TRUE,FALSE,FALSE,232,0
94,"0","1",NA,27,"2","3",FALSE,FALSE,TRUE,FALSE,FALSE,233,0
103,"0","1",53200,25,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,234,0
82,"0","1",8002.00000000001,21,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,235,0
75,"0","0",5328,27,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,236,0
91,"0","1",NA,25,"2",NA,FALSE,FALSE,TRUE,FALSE,TRUE,237,0
NA,"0","1",30000,29,"4","3",TRUE,FALSE,FALSE,FALSE,FALSE,238,0
97,"1","0",3650,19,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,239,0
81,"0","1",15000,21,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,240,0
88,"0","1",18150,23,NA,"3",FALSE,FALSE,FALSE,TRUE,FALSE,241,0
64,"0","1",16745,24,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,242,0
87,"0","1",14000,26,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,243,0
65,"0","1",7712,22,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,244,0
81,"0","1",34000,30,"4",NA,FALSE,FALSE,FALSE,FALSE,TRUE,245,0
NA,"0","1",44000,28,NA,"3",TRUE,FALSE,FALSE,TRUE,FALSE,246,0
NA,"1","1",24043,22,"2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,247,0
85,"1","0",37960,19,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,248,0
109,"0","1",15300,21,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,249,0
80,"1","0",2520,19,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,250,0
105,"1","1",69000,30,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,251,0
NA,"0","1",26088,24,NA,"3",TRUE,FALSE,FALSE,TRUE,FALSE,252,0
93,"1","1",NA,23,"3","3",FALSE,FALSE,TRUE,FALSE,FALSE,253,0
52,"0","1",36000,25,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,254,0
77,"0","1",41000,29,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,255,0
52,"1","1",28400,25,"3","2",FALSE,FALSE,FALSE,FALSE,FALSE,256,0
66,"1","0",5869.99999999999,19,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,257,0
NA,"0","1",30000,24,"1","3",TRUE,FALSE,FALSE,FALSE,FALSE,258,0
75,"0","1",39815,23,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,259,0
64,"1","1",14725,18,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,260,0
86,"1","0",4992,18,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,261,0
90,"1","0",0,21,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,262,0
82,"1","0",3890,18,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,263,0
79,"0","1",46583,26,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,264,0
104,"1",NA,NA,24,"4","1",FALSE,TRUE,TRUE,FALSE,FALSE,265,0
108,"1","1",38300,26,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,266,0
109,"0","1",NA,24,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,267,0
109,"0","1",33100,24,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,268,0
99,"0","1",36000,30,"4","3",FALSE,FALSE,FALSE,FALSE,FALSE,269,0
NA,"0","0",11680,24,"3",NA,TRUE,FALSE,FALSE,FALSE,TRUE,270,0
52,"0","1",8562,23,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,271,0
58,"0","1",17812,29,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,272,0
65,"1","0",4200,17,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,273,0
66,"0","1",60000,20,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,274,0
NA,"1","1",39143,29,NA,"3",TRUE,FALSE,FALSE,TRUE,FALSE,275,0
86,"1","0",6000,19,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,276,0
NA,"0","0",3012,22,"1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,277,0
107,"1","1",21002,21,"1","3",FALSE,FALSE,FALSE,FALSE,FALSE,278,0
NA,"1","1",21000,19,"2","2",TRUE,FALSE,FALSE,FALSE,FALSE,279,0
79,"1","0",12600,21,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,280,0
87,"1","0",NA,16,"1","3",FALSE,FALSE,TRUE,FALSE,FALSE,281,0
52,"0","1",10800,26,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,282,0
87,"1","1",37341,21,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,283,0
100,"0",NA,NA,26,"1",NA,FALSE,TRUE,TRUE,FALSE,TRUE,284,0
84,"1","1",12415,25,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,285,0
NA,"0","1",NA,23,"2","3",TRUE,FALSE,TRUE,FALSE,FALSE,286,0
114,"1","1",NA,27,"2","3",FALSE,FALSE,TRUE,FALSE,FALSE,287,0
121,"1","1",51000,28,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,288,0
70,"1","1",NA,17,"1","3",FALSE,FALSE,TRUE,FALSE,FALSE,289,0
94,"1","0",24000,21,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,290,0
NA,"1","1",24000,25,"3",NA,TRUE,FALSE,FALSE,FALSE,TRUE,291,0
114,"1","1",41030,25,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,292,0
74,"0","0",2370,22,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,293,0
64,"1","1",NA,26,"1","2",FALSE,FALSE,TRUE,FALSE,FALSE,294,0
54,"0","0",8292,26,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,295,0
104,"0","1",18392,20,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,296,0
